Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
      14      20       8
        Tdev         Tsd       RHdev        RHsd       DPdev        DPsd         lat         lon        ndvi      albedo        area      height   elevation   water500m
     -0.1394     -0.1332      0.6788      0.7310      2.1176      0.6149     40.7763    -73.9623      0.2035      0.1202      0.4408     28.8452     22.9484      0.0000
     -0.2118     -0.1887      0.3612      0.3833      1.5676      0.3474     40.7755    -73.9605      0.2051      0.1321      0.4813     30.1036     21.4696      0.0000
     -0.2871     -0.2384      0.2300      0.2962      1.4012      0.2783     40.7748    -73.9587      0.2051      0.1321      0.4813     30.1036     17.9845      0.0000
     -0.3135     -0.2699      0.1388      0.1666      1.0947      0.2255     40.7741    -73.9569      0.1779      0.1376      0.4854     26.8338     16.3076      0.0000
     -0.2600     -0.1993      0.2418      0.2580      1.1453      0.2640     40.7733    -73.9551      0.1767      0.1327      0.4351     26.0281     13.8961      0.0000
     -0.0894     -0.0536      0.3200      0.3461      0.9947      0.2361     40.7726    -73.9533      0.1632      0.1183      0.4069     34.1514     12.9011      0.0159
     -0.1800     -0.1340      0.1541      0.1828      0.8935      0.2044     40.7718    -73.9515      0.1632      0.1183      0.4069     34.1514     11.2999      0.0975
      0.0771      0.0265      0.2529      0.2518      0.6441      0.1677     40.7709    -73.9493      0.2197      0.0947      0.0679     29.4971      7.9358      0.1950
     -0.4573     -0.3689      0.0087     -0.2084      0.6680      0.0220     40.7708    -73.9929      0.1303      0.1570      0.5948     27.6309      5.3170      0.3084
     -0.2000     -0.1249     -0.2327     -0.3777     -0.4167     -0.2841     40.7701    -73.9913      0.1303      0.1570      0.5948     27.6309      8.3821      0.1565
     -0.0200     -0.0280     -0.2793     -0.4734     -1.0547     -0.4280     40.7695    -73.9897      0.2007      0.1602      0.5843     34.9999     13.8439      0.0499
      0.2600      0.2619     -0.1453     -0.2244     -1.1727     -0.5013     40.7688    -73.9880      0.2667      0.1406      0.3029     50.9564     21.7593      0.0045
      0.1113      0.0961     -0.2113     -0.3050     -0.9573     -0.4671     40.7681    -73.9864      0.1504      0.1338      0.4949     62.8042     24.7275      0.0000
