Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
          16      20.0000      8.00000
       Tdiff        Tdev      RHdiff       RHdev      DPdiff       DPdev         lat         lon        NDVI   greenness      albedo  brightness   Bareafrac     Bheight   elevation   water500m
     -0.1487     -0.1140     -0.2567     -0.3264     -0.5020     -0.2122     40.7585    -73.9635      0.2439     -0.0748      0.1109      0.2438      0.6289     43.0506     15.9597      0.1361
     -0.6547     -0.5585     -0.3987     -0.4415      0.4227      0.0441     40.7576    -73.9614      0.3366     -0.0540      0.1046      0.2271      0.6160     55.7344     14.3105      0.2381
      0.9506      0.9279      0.0556     -0.0627     -2.7062     -0.6435     40.7565    -74.0039      0.1289     -0.0769      0.1072      0.2405      0.0439      0.7939      4.5831      0.3197
      1.0319      0.9673     -0.2819     -0.2593     -3.2925     -0.8922     40.7558    -74.0024      0.2053     -0.0888      0.1561      0.3490      0.0000      0.0000      6.6151      0.1678
      1.0012      0.9211     -0.5825     -0.5367     -3.7619     -1.0714     40.7551    -74.0008      0.1652     -0.0961      0.1434      0.3231      0.7909     17.8059      9.3006      0.0635
      0.4444      0.4966     -0.9419     -0.8276     -3.5250     -0.9620     40.7545    -73.9992      0.1571     -0.0906      0.1336      0.2973      0.6202     32.6852     10.3406      0.0045
      0.4163      0.4677     -0.4544     -0.3307     -2.4100     -0.6178     40.7538    -73.9976      0.2591     -0.0659      0.1032      0.2276      0.6459     48.8280     11.8513      0.0000
      0.3162      0.3812     -0.3781     -0.2474     -1.9737     -0.4812     40.7531    -73.9961      0.2230     -0.0768      0.1165      0.2553      0.8124     36.4388     11.3480      0.0000
      0.0219      0.1096     -0.3875     -0.3215     -1.2312     -0.3117     40.7525    -73.9945      0.2554     -0.0618      0.0800      0.1729      0.7735     51.6230     11.3066      0.0000
      0.0094      0.1100     -0.1625     -0.0336     -0.6562     -0.1185     40.7518    -73.9929      0.3072     -0.0625      0.0919      0.1989      0.8501     72.3661     11.0089      0.0000
      0.5069      0.5281      0.3294      0.3797     -0.7013     -0.1253     40.7511    -73.9913      0.2821     -0.0657      0.0941      0.2032      0.8176     42.1687     11.8812      0.0000
      0.6800      0.7170      0.1269      0.2581     -1.4456     -0.3279     40.7505    -73.9898      0.1826     -0.0781      0.1188      0.2659      0.8159     57.1270     12.7092      0.0000
      0.4469      0.4975      0.0319      0.0664     -1.1375     -0.2963     40.7498    -73.9882      0.2398     -0.0645      0.0839      0.1820      0.8318     44.0095     13.5335      0.0000
      0.0100      0.1348     -0.1944     -0.0857     -0.6400     -0.1618     40.7492    -73.9866      0.3585     -0.0545      0.0607      0.1286      0.8108     39.8846     14.3601      0.0000
      0.0994      0.1406      0.0581      0.1375     -0.2737     -0.0028     40.7485    -73.9850      0.2313     -0.0729      0.0992      0.2178      0.7632     63.8086     14.8600      0.0000
      0.1144      0.2228      0.1338      0.2952      0.1294      0.0700     40.7478    -73.9835      0.1599     -0.0777      0.1113      0.2480      0.7558     51.3128     15.8510      0.0000
