Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
          16      20.0000      8.00000
       Tdiff        Tdev      RHdiff       RHdev      DPdiff       DPdev         lat         lon        NDVI   greenness      albedo  brightness   Bareafrac     Bheight   elevation   water500m
      0.0442      0.0681     -0.0483     -0.4894     -0.1625     -0.0253     40.7862    -73.9485      0.3574     -0.0521      0.1064      0.2305      0.6159     29.3112      8.5237      0.0363
     -0.1600     -0.1290     -0.2592     -0.6402     -0.2083     -0.0570     40.7850    -73.9494      0.3220     -0.0583      0.1118      0.2446      0.5680     67.6318     12.5629      0.0091
     -0.1583     -0.0905     -0.1633     -0.5807     -0.0500     -0.0307     40.7838    -73.9503      0.3117     -0.0645      0.1069      0.2320      0.6052     40.6848     17.1069      0.0000
     -0.1300     -0.0837     -0.1392     -0.5417     -0.1258     -0.0324     40.7826    -73.9512      0.2419     -0.0791      0.1300      0.2861      0.5229     53.0226     21.6028      0.0000
     -0.2108     -0.2099     -0.0008     -0.4386      0.3508      0.0677     40.7811    -73.9523      0.2507     -0.0687      0.1140      0.2495      0.6625     40.9010     23.8002      0.0000
      0.2525      0.4161      0.0500     -0.4386     -0.6258     -0.2098     40.7795    -73.9534      0.2383     -0.0729      0.1072      0.2356      0.6919     46.7184     23.5731      0.0000
      0.0917      0.2036     -0.5100     -0.9322     -1.6633     -0.4839     40.7783    -73.9543      0.2346     -0.0766      0.1442      0.3185      0.6642     47.0773     22.9214      0.0000
      0.1050      0.1919     -0.3375     -0.7384     -1.1642     -0.3679     40.7770    -73.9552      0.2802     -0.0641      0.1102      0.2402      0.6498     40.8341     23.1450      0.0000
      0.3192      0.5078     -0.1900     -0.5853     -1.2758     -0.4034     40.7758    -73.9562      0.2481     -0.0722      0.1010      0.2231      0.6372     27.3042     20.0690      0.0000
      0.4442      0.6592     -0.4075     -0.7383     -2.1525     -0.6042     40.7745    -73.9571      0.3188     -0.0594      0.1148      0.2506      0.6353     42.6061     16.7538      0.0000
      0.2575      0.4002     -0.5067     -0.8435     -2.0525     -0.5731     40.7733    -73.9580      0.3230     -0.0562      0.1035      0.2260      0.6056     45.0955     15.5872      0.0000
      0.1950      0.3432     -0.4217     -0.7665     -1.6592     -0.4912     40.7721    -73.9589      0.2468     -0.0694      0.1166      0.2574      0.6527     29.4505     15.6794      0.0000
     -0.1233     -0.0470     -0.4683     -0.7576     -0.9742     -0.3034     40.7708    -73.9598      0.3994     -0.0449      0.0917      0.1968      0.6240     30.3465     17.1599      0.0000
     -0.1517     -0.0786     -0.1692     -0.5002     -0.0883     -0.0893     40.7696    -73.9607      0.3401     -0.0513      0.1025      0.2232      0.5757     52.4281     21.0795      0.0000
     -0.5175     -0.3713     -0.5467     -0.6991     -0.0617     -0.0858     40.7683    -73.9616      0.3382     -0.0537      0.0966      0.2095      0.5960     56.4580     23.4725      0.0000
