Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
      14      20       8
        Tdev         Tsd       RHdev        RHsd       DPdev        DPsd         lat         lon        ndvi      albedo        area      height   elevation   water500m
     -0.2508     -0.3361      0.1083     -0.3691      0.8025      0.2255     40.7898    -73.9459      0.3317      0.1316      0.2935     18.9815      5.5651      0.0136
     -0.0525     -0.0182     -0.0350     -0.4528     -0.0183      0.0319     40.7886    -73.9468      0.2867      0.1606      0.3130     18.6835      5.6212      0.0181
     -0.1250     -0.1598     -0.1217     -0.5772     -0.0033      0.0167     40.7874    -73.9477      0.2867      0.1606      0.3130     18.6835      8.0051      0.0317
      0.0442      0.0681     -0.0483     -0.4894     -0.1625     -0.0253     40.7862    -73.9485      0.2867      0.1606      0.3130     18.6835      8.5237      0.0363
     -0.1600     -0.1290     -0.2592     -0.6402     -0.2083     -0.0570     40.7850    -73.9494      0.2375      0.1523      0.2887     22.8093     12.5629      0.0091
     -0.1583     -0.0905     -0.1633     -0.5807     -0.0500     -0.0307     40.7838    -73.9503      0.2375      0.1523      0.2887     22.8093     17.1069      0.0000
     -0.1300     -0.0837     -0.1392     -0.5417     -0.1258     -0.0324     40.7826    -73.9512      0.2370      0.1572      0.5055     24.5864     21.6028      0.0000
     -0.2108     -0.2099     -0.0008     -0.4386      0.3508      0.0677     40.7811    -73.9523      0.2146      0.1507      0.4823     23.6040     23.8002      0.0000
      0.2525      0.4161      0.0500     -0.4386     -0.6258     -0.2098     40.7795    -73.9534      0.2146      0.1507      0.4823     23.6040     23.5731      0.0000
      0.0917      0.2036     -0.5100     -0.9322     -1.6633     -0.4839     40.7783    -73.9543      0.1933      0.1485      0.4887     22.0156     22.9214      0.0000
      0.1050      0.1919     -0.3375     -0.7384     -1.1642     -0.3679     40.7770    -73.9552      0.1933      0.1485      0.4887     22.0156     23.1450      0.0000
      0.3192      0.5078     -0.1900     -0.5853     -1.2758     -0.4034     40.7758    -73.9562      0.1779      0.1376      0.4854     26.8338     20.0690      0.0000
      0.4442      0.6592     -0.4075     -0.7383     -2.1525     -0.6042     40.7745    -73.9571      0.1779      0.1376      0.4854     26.8338     16.7538      0.0000
      0.2575      0.4002     -0.5067     -0.8435     -2.0525     -0.5731     40.7733    -73.9580      0.1783      0.1355      0.4961     26.1845     15.5872      0.0000
      0.1950      0.3432     -0.4217     -0.7665     -1.6592     -0.4912     40.7721    -73.9589      0.1860      0.1310      0.4840     20.0219     15.6794      0.0000
     -0.1233     -0.0470     -0.4683     -0.7576     -0.9742     -0.3034     40.7708    -73.9598      0.1865      0.1272      0.4702     30.1447     17.1599      0.0000
     -0.1517     -0.0786     -0.1692     -0.5002     -0.0883     -0.0893     40.7696    -73.9607      0.1865      0.1272      0.4702     30.1447     21.0795      0.0000
     -0.5175     -0.3713     -0.5467     -0.6991     -0.0617     -0.0858     40.7683    -73.9616      0.1884      0.1277      0.4380     34.2174     23.4725      0.0000
     -0.3658     -0.1425     -0.4275     -0.6098     -0.1017     -0.0820     40.7671    -73.9625      0.1884      0.1277      0.4380     34.2174     23.5249      0.0000
      0.1550      0.2885      0.2250     -0.1606      0.3375      0.0122     40.7658    -73.9634      0.2773      0.1162      0.4406     27.4390     21.6660      0.0000
      0.2683      0.3646      0.1842     -0.2082     -0.0567     -0.0897     40.7646    -73.9643      0.1993      0.1225      0.4259     27.6499     20.5526      0.0000
      0.2692      0.3935      0.2308     -0.1448      0.0325     -0.0618     40.7634    -73.9652      0.1830      0.1285      0.4563     27.5229     17.8832      0.0000
     -0.1900     -0.0030     -0.1433     -0.4362      0.1033     -0.0427     40.7621    -73.9661      0.1988      0.1299      0.4453     30.4072     16.7594      0.0000
     -0.2908     -0.1043      0.0758     -0.2698      0.8975      0.1393     40.7609    -73.9670      0.1741      0.1339      0.3846     33.4266     15.2869      0.0000
      0.1025      0.2083      0.5492      0.0932      1.2433      0.2148     40.7596    -73.9679      0.1741      0.1339      0.3846     33.4266     11.8728      0.0000
      0.1725      0.2659      0.4550      0.0265      0.7867      0.0987     40.7584    -73.9688      0.2011      0.1215      0.4809     24.5338     11.1211      0.0000
      0.0017      0.0700      0.1075     -0.2393      0.2575      0.0433     40.7571    -73.9697      0.2011      0.1215      0.4809     24.5338     11.4583      0.0000
     -0.0583     -0.0128      0.2017     -0.1531      0.5575      0.1189     40.7555    -73.9709      0.2316      0.1246      0.4287     29.6743     11.3953      0.0023
     -0.8942     -0.8933     -0.5267     -0.1531      0.5108      0.1132     40.7539    -73.9721      0.2352      0.1197      0.4764     38.6008     11.7925      0.0023
     -0.9650     -1.0725     -0.5042     -0.1015      0.7442      0.1773     40.7527    -73.9730      0.2080      0.1228      0.3889     50.2485     12.7374      0.0068
     -0.9042     -0.9984     -0.1275      0.2582      1.6317      0.4069     40.7514    -73.9739      0.1567      0.1415      0.6339     39.1509     11.4778      0.0136
     -1.0850     -1.1845     -0.3608      0.0175      1.4608      0.3332     40.7502    -73.9748      0.2253      0.1280      0.4577     46.1890     10.9008      0.0136
     -0.8942     -0.9682     -0.1883      0.1718      1.4825      0.3274     40.7490    -73.9757      0.2253      0.1280      0.4577     46.1890     10.8315      0.0227
     -0.6650     -0.7849     -0.1600      0.2077      1.0475      0.2069     40.7477    -73.9766      0.1963      0.1444      0.3604     39.1197     11.6403      0.0204
     -0.8858     -1.1203     -0.5208     -0.2753      0.6408      0.0930     40.7465    -73.9775      0.1963      0.1444      0.3604     39.1197      8.8053      0.0295
     -0.9308     -1.1239     -0.4642     -0.2139      0.9550      0.2024     40.7453    -73.9784      0.2044      0.1366      0.3604     22.3844      8.1195      0.0091
     -0.3383     -0.4187      0.0658      0.4565      0.9667      0.2274     40.7440    -73.9793      0.2675      0.1399      0.4789     24.9949      9.4424      0.0023
     -0.2217     -0.3324     -0.1533      0.2372      0.0592     -0.0018     40.7428    -73.9802      0.2446      0.1454      0.4113     20.8293     10.1428      0.0000
     -0.5333     -0.6024     -0.2992      0.0836      0.3208      0.0475     40.7415    -73.9811      0.2208      0.1501      0.4289     21.3362      9.7647      0.0000
     -0.5592     -0.7350     -0.0033      0.2939      1.1717      0.2802     40.7403    -73.9820      0.2472      0.1546      0.3379     32.3362      9.2330      0.0000
     -0.5217     -0.7327      0.0908      0.3829      1.3783      0.3629     40.7391    -73.9829      0.2472      0.1546      0.3379     32.3362      8.0857      0.0000
     -0.6242     -0.8642      0.0067      0.3084      1.4233      0.3856     40.7378    -73.9838      0.2164      0.1709      0.4564     26.3030      8.0817      0.0000
     -0.9992     -1.2322     -0.0417      0.2435      2.1775      0.5770     40.7366    -73.9847      0.2164      0.1709      0.4564     26.3030      8.5743      0.0000
     -0.9767     -1.2013      0.3433      0.5692      3.1592      0.8093     40.7353    -73.9856      0.3113      0.1721      0.4419     21.9296      9.4580      0.0000
     -0.9200     -1.0573      0.4517      0.7075      3.3633      0.8457     40.7341    -73.9865      0.2595      0.1695      0.3725     25.0072      9.8919      0.0000
     -1.0433     -1.1866      0.3358      0.5795      3.3617      0.8325     40.7329    -73.9874      0.2214      0.1633      0.5338     19.3035     10.6746      0.0000
